round_epochs,loss,mean_absolute_error,val_loss,val_mean_absolute_error,activation,batch_size,dropout,epochs,first_neuron,last_activation,losses,optimizer
50,0.14031338692686313,0.14031339,0.15405735523304562,0.15405735,relu,32,0.2,50,64,tanh,mae,Nadam
50,0.16146011678346592,0.16146015,0.1661564162649848,0.16615641,relu,64,0.4,50,64,linear,mae,Adam
100,0.035893808740794675,0.1330154,0.05955788322313284,0.16673769,relu,64,0.2,100,64,tanh,mse,RMSprop
100,3.1276384742189007,1.7346416,3.125117555368679,1.7337915,tanh,64,0.2,100,64,softmax,mse,RMSprop
50,0.26535820316110204,0.26535827,0.2662088371492078,0.2662089,relu,64,0.2,50,64,tanh,mae,Nadam
50,0.14709348953945947,0.1470935,0.15890330473051323,0.15890332,tanh,64,0.2,50,64,tanh,mae,Nadam
50,1.7346418057542476,1.734642,1.7337911813052636,1.7337914,relu,64,0.4,50,64,softmax,mae,Nadam
100,1.7346418048183552,1.734642,1.7337911675241056,1.7337915,relu,32,0.4,100,32,softmax,mae,RMSprop
100,0.26535820262978815,0.2653582,0.2662088367398665,0.26620877,relu,32,0.2,100,64,tanh,mae,Adam
50,0.049852447398433426,0.15714186,0.059258297213681185,0.17306969,elu,32,0.4,50,64,tanh,mse,Nadam
50,0.1496407045554132,0.14964068,0.15720063128438627,0.1572006,relu,64,0.4,50,64,tanh,mae,RMSprop
50,1.734641802907575,1.7346413,1.733791160292409,1.7337911,elu,64,0.2,50,64,softmax,mae,RMSprop
50,0.1592441377323517,0.15924409,0.16084136548659947,0.16084136,tanh,64,0.4,50,64,linear,mae,RMSprop
100,0.03975726868244395,0.14009944,0.05831391735585852,0.17025462,elu,64,0.4,100,64,tanh,mse,RMSprop
100,1.7346418039604539,1.7346416,1.7337911728910251,1.7337914,tanh,32,0.4,100,32,softmax,mae,RMSprop
100,1.7346418034145166,1.7346414,1.7337911646587163,1.7337911,elu,32,0.2,100,32,softmax,mae,RMSprop
100,0.13323425883984777,0.13323423,0.15657015296053858,0.1565702,tanh,32,0.2,100,32,tanh,mae,Nadam
50,1.7346418163610278,1.7346418,1.7337911794404863,1.733791,tanh,64,0.4,50,64,softmax,mae,Nadam
100,0.04481757933071013,0.15178855,0.05640272142487098,0.17262924,elu,64,0.4,100,64,linear,mse,RMSprop
100,0.05340803325624687,0.16707344,0.0553937171767432,0.17539987,relu,64,0.4,100,32,linear,mse,RMSprop
50,0.15747175443433725,0.15747178,0.15942177692700416,0.15942176,tanh,64,0.2,50,64,linear,mae,RMSprop
100,0.04512720830960332,0.14889649,0.0574519513192658,0.17148228,relu,32,0.2,100,32,tanh,mse,Nadam
100,3.1276384714892145,1.7346416,3.125117547454747,1.7337911,tanh,64,0.4,100,32,softmax,mse,RMSprop
50,0.14270347621965768,0.14270347,0.16206193753141157,0.16206193,elu,32,0.2,50,64,tanh,mae,RMSprop
50,0.05399917776303077,0.16650571,0.054128052300792394,0.16948503,elu,32,0.4,50,32,linear,mse,RMSprop
50,0.15102169323209302,0.15102172,0.15900080094170088,0.15900078,tanh,32,0.2,50,64,linear,mae,Nadam
100,3.1276385196096803,1.734642,3.1251176023064837,1.7337911,elu,32,0.2,100,32,softmax,mse,Nadam
100,0.13848771262605633,0.13848774,0.15845119939510807,0.15845118,elu,32,0.2,100,32,linear,mae,Adam
100,0.1309747402408484,0.13097471,0.15637208239943962,0.15637207,relu,64,0.2,100,64,linear,mae,Adam
50,0.152289831057303,0.15228981,0.15998225725934234,0.15998226,elu,32,0.2,50,64,linear,mae,Adam
50,3.127638470163367,1.7346414,3.1251175503656183,1.7337911,relu,64,0.2,50,32,softmax,mse,Nadam
50,0.1620390574293352,0.16203906,0.15985062519406054,0.15985063,elu,64,0.4,50,64,linear,mae,Adam
50,0.16117450345330742,0.16117449,0.1619676900292025,0.16196768,elu,64,0.4,50,32,linear,mae,Nadam
50,0.15377829810997454,0.1537783,0.16078994106764286,0.16078992,elu,32,0.2,50,32,linear,mae,Nadam
50,3.1276385279547205,1.7346416,3.1251175794743347,1.7337914,relu,32,0.4,50,64,softmax,mse,Nadam
100,1.734641818349799,1.7346416,1.733791183579382,1.7337911,relu,64,0.2,100,64,softmax,mae,Adam
100,0.04046610263649997,0.14258991,0.0578283930935736,0.16935737,elu,64,0.4,100,64,tanh,mse,Nadam
100,0.03376142936461661,0.12905692,0.06117014507331361,0.16546905,relu,32,0.4,100,64,tanh,mse,Adam
100,1.7346418060662117,1.7346413,1.7337911742554963,1.733791,tanh,32,0.2,100,64,softmax,mae,RMSprop
100,3.1276385178158868,1.7346423,3.1251175983040356,1.7337906,elu,32,0.2,100,32,softmax,mse,Adam
50,0.15660347690331144,0.15660346,0.1637457521679928,0.16374579,relu,32,0.4,50,64,linear,mae,RMSprop
100,0.036216160893625476,0.13760954,0.05739937599027762,0.16841193,elu,64,0.2,100,64,linear,mse,Nadam
100,3.1276385307623977,1.7346418,3.125117598122106,1.7337914,relu,32,0.4,100,32,softmax,mse,Adam
100,0.1183865695928568,0.11838658,0.16084826826617174,0.16084827,tanh,32,0.2,100,64,linear,mae,RMSprop
50,0.15265334759968965,0.15265337,0.1596514858427688,0.1596515,tanh,32,0.4,50,64,linear,mae,RMSprop
50,0.14924514026551375,0.14924516,0.15818275977459084,0.15818276,tanh,32,0.2,50,32,tanh,mae,Nadam
100,0.041781470771802186,0.14770296,0.056824303233910044,0.17101029,tanh,64,0.4,100,64,linear,mse,Adam
100,1.734641799436974,1.7346418,1.7337911610201269,1.7337911,relu,32,0.2,100,32,softmax,mae,Adam
50,0.14699964784877848,0.14699963,0.163401474335502,0.16340147,elu,32,0.4,50,64,tanh,mae,RMSprop
50,3.127638537079671,1.7346423,3.1251175930280803,1.7337914,tanh,32,0.4,50,64,softmax,mse,RMSprop
50,0.051871987295513414,0.16465001,0.05582214165045441,0.17572914,tanh,64,0.4,50,64,linear,mse,Nadam
100,0.1411078798837197,0.14110789,0.15487041867607107,0.1548704,relu,64,0.4,100,64,linear,mae,Adam
50,1.7346418169459603,1.7346416,1.7337911864447713,1.7337914,elu,64,0.2,50,64,softmax,mae,Nadam
100,0.1564825591325058,0.15648252,0.1612121035913073,0.16121209,relu,64,0.4,100,32,linear,mae,Adam
50,0.05370398674076158,0.16779512,0.05576279103323868,0.17099006,elu,64,0.4,50,64,linear,mse,Nadam
50,0.1492359557493395,0.14923596,0.15732260285466285,0.15732259,relu,32,0.2,50,32,tanh,mae,RMSprop
50,1.734641806768131,1.7346419,1.7337911887188897,1.7337914,tanh,64,0.2,50,64,softmax,mae,Nadam
50,0.1539384921391805,0.1539385,0.16750159848286694,0.16750158,elu,32,0.4,50,64,linear,mae,RMSprop
100,3.127638482095995,1.7346419,3.1251175608265633,1.7337914,elu,64,0.2,100,64,softmax,mse,Adam
50,0.054502925275293955,0.16495416,0.05569130310185399,0.1660315,tanh,64,0.4,50,32,tanh,mse,Nadam
100,1.7346418027905885,1.7346419,1.733791180395616,1.7337914,tanh,32,0.2,100,32,softmax,mae,Nadam
100,0.04794340440074252,0.15838534,0.05357858627460377,0.16767994,elu,32,0.4,100,32,linear,mse,Nadam
100,3.1276384843577345,1.7346423,3.1251175495469354,1.7337914,elu,64,0.2,100,64,softmax,mse,Nadam
100,0.1368586500563729,0.13685869,0.15543349934347436,0.1554335,tanh,32,0.2,100,32,tanh,mae,RMSprop
100,0.13822111673592194,0.13822113,0.162950237412027,0.16295025,tanh,32,0.2,100,32,linear,mae,RMSprop
50,0.15627011460808707,0.15627009,0.16140690053046,0.16140693,tanh,32,0.4,50,32,linear,mae,Nadam
50,3.127638523665214,1.7346418,3.1251175771092514,1.7337911,relu,32,0.4,50,32,softmax,mse,RMSprop
50,1.7346418153471443,1.7346419,1.7337911696162946,1.7337911,elu,64,0.4,50,64,softmax,mae,Adam
50,1.734641796941261,1.7346423,1.733791172481684,1.7337908,tanh,32,0.2,50,32,softmax,mae,Nadam
100,0.14768100398055548,0.14768098,0.15559976383367144,0.15559977,elu,32,0.4,100,32,linear,mae,Adam
100,3.1276385353638685,1.734642,3.125117608492086,1.7337915,relu,32,0.2,100,32,softmax,mse,RMSprop
50,0.05314146247069392,0.16570677,0.05443436681559094,0.16417134,elu,32,0.2,50,32,linear,mse,Adam
100,0.03472132862618362,0.13265437,0.06602991953384144,0.17422557,elu,64,0.2,100,64,tanh,mse,RMSprop
100,0.04025744056249312,0.14191552,0.0598182445637191,0.16594248,elu,32,0.2,100,32,tanh,mse,RMSprop
50,0.26535820582742037,0.2653581,0.2662088377347933,0.2662089,relu,32,0.4,50,64,tanh,mae,Adam
100,0.1341180163278742,0.13411804,0.15740427300362403,0.15740429,relu,64,0.2,100,64,linear,mae,RMSprop
100,1.7346417940555932,1.7346424,1.7337911667054229,1.7337911,relu,32,0.4,100,64,softmax,mae,RMSprop
50,0.1543984806148648,0.15439849,0.1607287299514772,0.16072875,elu,64,0.4,50,32,tanh,mae,Nadam
50,0.26535820426759976,0.2653583,0.2662088336356948,0.2662088,relu,64,0.4,50,32,tanh,mae,Nadam
50,3.1276384681356,1.7346416,3.1251175485463234,1.733791,elu,64,0.2,50,32,softmax,mse,Adam
50,0.1478885516261095,0.14788859,0.1535226176857084,0.15352261,elu,64,0.2,50,64,tanh,mae,Nadam
50,0.16502899514486247,0.165029,0.15836501417156396,0.15836501,relu,32,0.4,50,32,linear,mae,Nadam
50,0.05482861634111108,0.16435577,0.05614621771832815,0.16825894,elu,64,0.4,50,32,tanh,mse,Adam
50,0.05538399578954099,0.16950904,0.0565325808304496,0.17054883,elu,64,0.2,50,32,linear,mse,RMSprop
100,1.7346418002168844,1.7346414,1.7337911698891888,1.7337911,tanh,32,0.4,100,64,softmax,mae,Nadam
100,0.14445335779425597,0.14445336,0.1555327864854857,0.1555328,elu,64,0.4,100,32,tanh,mae,RMSprop
